sampleID	mouse	cage	day	location	experiment	infected	treatment
8-t0-poop	8	C	0	poop	1	TRUE	N/A
8-t24-poop	8	C	24	poop	1	TRUE	N/A
8-t48-cecon	8	C	48	cecon	1	TRUE	N/A
8-t48-colcon	8	C	48	colcon	1	TRUE	N/A
8-t48-colon	8	C	48	colon	1	TRUE	N/A
9-t0-poop	9	C	0	poop	1	TRUE	N/A
9-t24-poop	9	C	24	poop	1	TRUE	N/A
9-t3-poop	9	C	3	poop	1	TRUE	N/A
9-t48-cecon	9	C	48	cecon	1	TRUE	N/A
9-t48-cecum	9	C	48	cecum	1	TRUE	N/A
9-t48-colcon	9	C	48	colcon	1	TRUE	N/A
9-t48-colon	9	C	48	colon	1	TRUE	N/A
10-t0-poop	10	D	0	poop	1	TRUE	N/A
10-t24-poop	10	D	24	poop	1	TRUE	N/A
10-t3-poop	10	D	3	poop	1	TRUE	N/A
10-t48-cecon	10	D	48	cecon	1	TRUE	N/A
10-t48-cecum	10	D	48	cecum	1	TRUE	N/A
10-t48-colcon	10	D	48	colcon	1	TRUE	N/A
10-t48-colon	10	D	48	colon	1	TRUE	N/A
11-t0-poop	11	D	0	poop	1	TRUE	N/A
11-t24-poop	11	D	24	poop	1	TRUE	N/A
11-t3-poop	11	D	3	poop	1	TRUE	N/A
11-t48-cecon	11	D	48	cecon	1	TRUE	N/A
11-t48-cecum	11	D	48	cecum	1	TRUE	N/A
11-t48-colcon	11	D	48	colcon	1	TRUE	N/A
11-t48-colon	11	D	48	colon	1	TRUE	N/A
12-t0-poop	12	D	0	poop	1	TRUE	N/A
12-t24-poop	12	D	24	poop	1	TRUE	N/A
12-t3-poop	12	D	3	poop	1	TRUE	N/A
12-t48-cecon	12	D	48	cecon	1	TRUE	N/A
12-t48-cecum	12	D	48	cecum	1	TRUE	N/A
12-t48-colcon	12	D	48	colcon	1	TRUE	N/A
12-t48-colon	12	D	48	colon	1	TRUE	N/A
13-t0-poop	13	D	0	poop	1	TRUE	N/A
13-t24-poop	13	D	24	poop	1	TRUE	N/A
13-t3-poop	13	D	3	poop	1	TRUE	N/A
13-t48-cecon	13	D	48	cecon	1	TRUE	N/A
13-t48-cecum	13	D	48	cecum	1	TRUE	N/A
13-t48-colcon	13	D	48	colcon	1	TRUE	N/A
13-t48-colon	13	D	48	colon	1	TRUE	N/A
14-t0-poop	14	D	0	poop	1	TRUE	N/A
14-t24-poop	14	D	24	poop	1	TRUE	N/A
14-t48-cecon	14	D	48	cecon	1	TRUE	N/A
14-t48-cecum	14	D	48	cecum	1	TRUE	N/A
14-t48-colcon	14	D	48	colcon	1	TRUE	N/A
14-t48-colon	14	D	48	colon	1	TRUE	N/A
1-t0-poop2	1	A	0	poop	2	 FALSE	N/A
1-t24-poop2	1	A	24	poop	2	 FALSE	N/A
1-t3-poop2	1	A	3	poop	2	 FALSE	N/A
1-t48-poop2	1	A	48	poop	2	 FALSE	N/A
1-t96-cecum2	1	A	96	cecum	2	 FALSE	N/A
1-t96-colcon2-1	1	A	96	colcon	2	 FALSE	N/A
1-t96-colon2	1	A	96	colon	2	 FALSE	N/A
2-t96-cecum	2	A	96	cecum	2	 FALSE	N/A
2-t96-colcon2-1	2	A	96	colcon2	2	 FALSE	N/A
2-t0-poop2	2	A	0	poop	2	 FALSE	N/A
2-t24-poop2	2	A	24	poop	2	 FALSE	N/A
2-t3-poop2	2	A	3	poop	2	 FALSE	N/A
2-t48-poop2	2	A	48	poop	2	 FALSE	N/A
2-t72-poop2	2	A	72	poop	2	 FALSE	N/A
2-t96-colon2	2	A	96	colon2	2	 FALSE	N/A
3-t24-poop2	3	A	24	poop	2	 FALSE	N/A
3-t3-poop2	3	A	3	poop	2	 FALSE	N/A
3-t48-cecon2	3	A	48	cecon	2	 FALSE	N/A
3-t48-cecum2	3	A	48	cecum	2	 FALSE	N/A
3-t48-colcon2	3	A	48	colcon	2	 FALSE	N/A
4-t96-cecon	4	B	96	cecon	2	TRUE	CEF
4-t96-cecum	4	B	96	cecum	2	TRUE	CEF
4-t0-poop2	4	B	0	poop	2	TRUE	CEF
4-t24-poop2	4	B	24	poop	2	TRUE	CEF
4-t3-poop2	4	B	3	poop	2	TRUE	CEF
4-t48-poop2	4	B	48	poop	2	TRUE	CEF
4-t72-poop2	4	B	72	poop	2	TRUE	CEF
4-t96-colcon2-1	4	B	96	colcon2	2	TRUE	CEF
5-48h-cec-con2	5	B	48	cec	2	TRUE	CEF
5-t0-poop2	5	B	0	poop	2	TRUE	CEF
5-t24-poop2	5	B	24	poop	2	TRUE	CEF
5-t3-poop2	5	B	3	poop	2	TRUE	CEF
5-t48-colcon2	5	B	48	colcon	2	TRUE	CEF
6-t96-cecon	6	B	96	cecon	2	TRUE	CEF
6-t96-cecum	6	B	96	cecum	2	TRUE	CEF
6-t0-poop2	6	B	0	poop	2	TRUE	CEF
6-t24-poop2	6	B	24	poop	2	TRUE	CEF
6-t3-poop2	6	B	3	poop	2	TRUE	CEF
6-t48-poop2	6	B	48	poop	2	TRUE	CEF
6-t72-poop2	6	B	72	poop	2	TRUE	CEF
6-t96-colcon2-1	6	B	96	colcon2	2	TRUE	CEF
7-t96-cecon	7	C	96	cecon	2	TRUE	CEF
7-t96-cecum	7	C	96	cecum	2	TRUE	CEF
7-t96-colcon2-1	7	C	96	colcon2	2	TRUE	CEF
7-t0-poop2	7	C	0	poop	2	TRUE	CEF
7-t24-poop2	7	C	24	poop	2	TRUE	CEF
7-t3-poop2	7	C	3	poop	2	TRUE	CEF
7-t48-cecum2	7	C	48	cecum	2	TRUE	CEF
7-t48-poop2	7	C	48	poop	2	TRUE	CEF
7-t72-poop2	7	C	72	poop	2	TRUE	CEF
8-t96-cecon	8	C	96	cecon	2	TRUE	CEF
8-t96-cecum	8	C	96	cecum	2	TRUE	CEF
8-t96-colcon2-1	8	C	96	colcon2	2	TRUE	CEF
8-t0-poop2	8	C	0	poop	2	TRUE	CEF
8-t24-poop2	8	C	24	poop	2	TRUE	CEF
8-t3-poop2	8	C	3	poop	2	TRUE	CEF
8-t48-poop2	8	C	48	poop	2	TRUE	CEF
8-t72-poop2	8	C	72	poop	2	TRUE	CEF
9-t96-cecon	9	C	96	cecon	2	TRUE	CEF
9-t96-cecum	9	C	96	cecum	2	TRUE	CEF
9-t0-poop2	9	C	0	poop	2	TRUE	CEF
9-t24-poop2	9	C	24	poop	2	TRUE	CEF
9-t3-poop2	9	C	3	poop	2	TRUE	CEF
9-t48-poop2	9	C	48	poop	2	TRUE	CEF
9-t72-poop2	9	C	72	poop	2	TRUE	CEF
9-t96-colcon2-1	9	C	96	colcon2	2	TRUE	CEF
10-t96-cecon	10	D	96	cecon	2	TRUE	DSS
10-t96-cecum	10	D	96	cecum	2	TRUE	DSS
10-t24-poop2	10	D	24	poop	2	TRUE	DSS
10-t3-poop2	10	D	3	poop	2	TRUE	DSS
10-t96-colcon2-1	10	D	96	colcon2	2	TRUE	DSS
10-t96-colon2-2	10	D	96	colon2	2	TRUE	DSS
11-t0-poop2	11	D	0	poop	2	TRUE	DSS
11-t3-cecon2	11	D	3	cecon	2	TRUE	DSS
11-t3-cecum2	11	D	3	cecum	2	TRUE	DSS
11-t3-colocon2	11	D	3	colocon	2	TRUE	DSS
11-t3-colon2	11	D	3	colon	2	TRUE	DSS
12-t96-cecon	12	D	96	cecon	2	TRUE	DSS
12-t96-cecum	12	D	96	cecum	2	TRUE	DSS
12-t0-poop2	12	D	0	poop	2	TRUE	DSS
12-t24-poop2	12	D	24	poop	2	TRUE	DSS
12-t3-poop2	12	D	3	poop	2	TRUE	DSS
12-t96-colcon2-1	12	D	96	colcon2	2	TRUE	DSS
12-t96-colon2-2	12	D	96	colon2	2	TRUE	DSS
13-t0-poop2	13	E	0	poop	2	TRUE	DSS
13-t3-cecon2	13	E	3	cecon	2	TRUE	DSS
13-t3-cecum2	13	E	3	cecum	2	TRUE	DSS
13-t3-poop2	13	E	3	poop	2	TRUE	DSS
13-t3-spleen	13	E	3	spleen	2	TRUE	DSS
13-t3-stool2	13	E	3	stool	2	TRUE	DSS
14-t0-poop2	14	E	0	poop	2	TRUE	DSS
14-t24-poop2	14	E	24	poop	2	TRUE	DSS
14-t48-cecon2	14	E	48	cecon	2	TRUE	DSS
14-t48-cecum2	14	E	48	cecum	2	TRUE	DSS
14-t48-colcon2	14	E	48	colcon	2	TRUE	DSS
14-t48-colon2	14	E	48	colon	2	TRUE	DSS
